RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RegionFullName
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,New York.NY
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,Los Angeles.CA
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,Houston.TX
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,Chicago.IL
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,San Antonio.TX
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,Philadelphia.PA
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,Phoenix.AZ
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,Las Vegas.NV
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,San Diego.CA
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,Dallas.TX
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,Austin.TX
33839,11,San Jose,city,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,San Jose.CA
25290,12,Jacksonville,city,FL,FL,"Jacksonville, FL",Duval County,Jacksonville.FL
24043,13,Charlotte,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,Charlotte.NC
32149,14,Indianapolis,city,IN,IN,"Indianapolis-Carmel-Anderson, IN",Marion County,Indianapolis.IN
18172,15,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,Fort Worth.TX
13121,16,Orlando,city,FL,FL,"Orlando-Kissimmee-Sanford, FL",Orange County,Orlando.FL
20330,17,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,San Francisco.CA
7481,18,Tucson,city,AZ,AZ,"Tucson, AZ",Pima County,Tucson.AZ
10920,19,Columbus,city,OH,OH,"Columbus, OH",Franklin County,Columbus.OH
12700,20,Miami,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,Miami.FL
12455,21,Louisville,city,KY,KY,"Louisville/Jefferson County, KY-IN",Jefferson County,Louisville.KY
17933,22,El Paso,city,TX,TX,"El Paso, TX",El Paso County,El Paso.TX
11093,23,Denver,city,CO,CO,"Denver-Aurora-Lakewood, CO",Denver County,Denver.CO
16037,24,Seattle,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",King County,Seattle.WA
13373,25,Portland,city,OR,OR,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,Portland.OR
6118,26,Nashville,city,TN,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,Nashville.TN
41568,27,Washington,city,DC,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,Washington.DC
20288,28,Sacramento,city,CA,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County,Sacramento.CA
44269,29,Boston,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Suffolk County,Boston.MA
17762,30,Detroit,city,MI,MI,"Detroit-Warren-Dearborn, MI",Wayne County,Detroit.MI
26529,31,Pittsburgh,city,PA,PA,"Pittsburgh, PA",Allegheny County,Pittsburgh.PA
23429,32,Albuquerque,city,NM,NM,"Albuquerque, NM",Bernalillo County,Albuquerque.NM
32811,33,Memphis,city,TN,TN,"Memphis, TN-MS-AR",Shelby County,Memphis.TN
18203,34,Fresno,city,CA,CA,"Fresno, CA",Fresno County,Fresno.CA
3523,35,Baltimore,city,MD,MD,"Baltimore-Columbia-Towson, MD",Baltimore City,Baltimore.MD
40152,36,Omaha,city,NE,NE,"Omaha-Council Bluffs, NE-IA",Douglas County,Omaha.NE
37211,37,Atlanta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,Atlanta.GA
5976,38,Milwaukee,city,WI,WI,"Milwaukee-Waukesha, WI",Milwaukee County,Milwaukee.WI
33225,39,Oklahoma City,city,OK,OK,"Oklahoma City, OK",Oklahoma County,Oklahoma City.OK
54047,40,Raleigh,city,NC,NC,"Raleigh-Cary, NC",Wake County,Raleigh.NC
19331,41,Mesa,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,Mesa.AZ
4172,42,Colorado Springs,city,CO,CO,"Colorado Springs, CO",El Paso County,Colorado Springs.CO
17222,43,Buffalo,city,NY,NY,"Buffalo-Cheektowaga, NY",Erie County,Buffalo.NY
18795,44,Kansas City,city,MO,MO,"Kansas City, MO-KS",Jackson County,Kansas City.MO
832063,45,Rochester,city,NY,NY,"Rochester, NY",Monroe County,Rochester.NY
4099,46,Cincinnati,city,OH,OH,"Cincinnati, OH-KY-IN",Hamilton County,Cincinnati.OH
46298,47,Long Beach,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,Long Beach.CA
41515,48,Virginia Beach,city,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,Virginia Beach.VA
3506,49,Bakersfield,city,CA,CA,"Bakersfield, CA",Kern County,Bakersfield.CA
41176,50,Tampa,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,Tampa.FL
13072,51,Oakland,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,Oakland.CA
20859,52,Tulsa,city,OK,OK,"Tulsa, OK",Tulsa County,Tulsa.OK
5983,53,Minneapolis,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,Minneapolis.MN
16846,54,Aurora,city,CO,CO,"Denver-Aurora-Lakewood, CO",Arapahoe County,Aurora.CO
7204,55,Spring,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,Spring.TX
18615,56,Honolulu,city,HI,HI,"Urban Honolulu, HI",Honolulu County,Honolulu.HI
25428,57,Knoxville,city,TN,TN,"Knoxville, TN",Knox County,Knoxville.TN
50763,58,Arlington,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,Arlington.TX
44055,59,Baton Rouge,city,LA,LA,"Baton Rouge, LA",East Baton Rouge Parish,Baton Rouge.LA
19594,60,New Orleans,city,LA,LA,"New Orleans-Metairie, LA",Orleans Parish,New Orleans.LA
7929,61,Wichita,city,KS,KS,"Wichita, KS",Sedgwick County,Wichita.KS
24115,62,Cleveland,city,OH,OH,"Cleveland-Elyria, OH",Cuyahoga County,Cleveland.OH
47401,63,Riverside,city,CA,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,Riverside.CA
16764,64,Anaheim,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,Anaheim.CA
48215,65,Vancouver,city,WA,WA,"Portland-Vancouver-Hillsboro, OR-WA",Clark County,Vancouver.WA
7266,67,Stockton,city,CA,CA,"Stockton, CA",San Joaquin County,Stockton.CA
12562,68,Marietta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,Marietta.GA
4174,69,Columbia,city,SC,SC,"Columbia, SC",Richland County,Columbia.SC
11722,70,Greensboro,city,NC,NC,"Greensboro-High Point, NC",Guilford County,Greensboro.NC
18170,71,Fort Wayne,city,IN,IN,"Fort Wayne, IN",Allen County,Fort Wayne.IN
25574,72,Lexington,city,KY,KY,"Lexington-Fayette, KY",Fayette County,Lexington.KY
19533,73,Naples,city,FL,FL,"Naples-Marco Island, FL",Collier County,Naples.FL
11867,74,Henderson,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,Henderson.NV
38025,75,Corpus Christi,city,TX,TX,"Corpus Christi, TX",Nueces County,Corpus Christi.TX
6891,76,Saint Louis,city,MO,MO,"St. Louis, MO-IL",Saint Louis City,Saint Louis.MO
47568,77,Santa Ana,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,Santa Ana.CA
24457,78,Durham,city,NC,NC,"Durham-Chapel Hill, NC",Durham County,Durham.NC
7081,79,Silver Spring,city,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,Silver Spring.MD
20313,80,Saint Paul,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Ramsey County,Saint Paul.MN
20604,81,Spokane,city,WA,WA,"Spokane-Spokane Valley, WA",Spokane County,Spokane.WA
12970,82,Newark,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,Newark.NJ
13478,83,Reno,city,NV,NV,"Reno, NV",Washoe County,Reno.NV
26922,84,Saint Petersburg,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,Saint Petersburg.FL
52650,85,Irvine,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,Irvine.CA
